id,smiles,Ki
#backbone,,
1,O=C1C2=NC(C([R1])=O)=NN2C(C=C([R8])C([R7])=C3)=C3N1,0
2,O=C1C2=NC(C([R1])=O)=NN2C3=C(N1)C=C([R7])C(N4C=CC=C4)=C3 ,0
3,O=C1C2=NC(C([R1])=O)=NN2C3=C(N1)C=C([R7])C([R8])=C3[R9],0
4,O=C1N2N=C(C([R1])=C2C3=C(N1)C=C([R8])C([R9])=C3)[R2],0
#train,,
1,O=C1C2=NC(C(CC)=O)=NN2C(C=CC=C3)=C3N1,16.7
2,O=C1C2=NC(C(CC)=O)=NN2C(C=CC(Cl)=C3)=C3N1,3
3,O=C1C2=NC(C(CC)=O)=NN2C(C=C(Cl)C=C3)=C3N1,88.2
4,O=C1C2=NC(C(CC)=O)=NN2C(C=C(Cl)C(Cl)=C3)=C3N1,0.71
5,O=C1C2=NC(C(CC)=O)=NN2C(C=CC(C(F)(F)F)=C3)=C3N1,1.8
6,O=C1C2=NC(C(CC)=O)=NN2C(C=CC(Br)=C3)=C3N1,2.6
7,O=C1C2=NC(C=O)=NN2C(C=CC(Cl)=C3)=C3N1,0.17
8,O=C1C2=NC(C=O)=NN2C(C=C(Cl)C=C3)=C3N1,3.5
9,O=C1C2=NC(C=O)=NN2C(C=C(Cl)C(Cl)=C3)=C3N1,0.074
10,O=C1C2=NC(C=O)=NN2C(C=CC(C(F)(F)F)=C3)=C3N1,0.57
11,O=C1C2=NC(C=O)=NN2C(C=CC(Br)=C3)=C3N1,0.39
12,O=C1C2=NC(C=O)=NN2C(C=C([N+]([O-])=O)C(Cl)=C3)=C3N1,2.2
13,O=C1C2=NC(C(CC)=O)=NN2C3=C(N1)C=C(Cl)C(N4C=CC=C4)=C3,23
14,O=C1C2=NC(C(CC)=O)=NN2C3=C(N1)C=C(Cl)C(N4N=CC=C4)=C3,7.1
15,O=C1C2=NC(C=O)=NN2C3=C(N1)C=C(Cl)C(N4C=NN=C4)=C3,33.5
16,O=C1C2=NC(C=O)=NN2C3=C(N1)C=C(Cl)C(N4C=CC=C4)=C3,0.86
17,O=C1C2=NC(C=O)=NN2C3=C(N1)C=C(Cl)C(N4N=CC=C4)=C3,5.3
18,O=C1C2=NC(C(CC)=O)=NN2C(C=C(N)C(Cl)=C3)=C3N1,4.8
19,O=C1C2=NC(C(CC)=O)=NN2C3=C(N1)C=C(C(F)(F)F)C(N4C=CC=C4)=C3,75
20,O=C1C2=NC(C(CC)=O)=NN2C3=C(N1)C=C(C(F)(F)F)C(N4C=C(C=O)C=C4)=C3,71
21,O=C1C2=NC(C(CC)=O)=NN2C3=C(N1)C=C(C(F)(F)F)C(N4C=NC=C4)=C3,54
22,O=C1C2=NC(C(CC)=O)=NN2C(C=C([N+]([O-])=O)C(C(F)(F)F)=C3)=C3N1,62
23,O=C1C2=NC(C(CC)=O)=NN2C(C=C(N)C(C(F)(F)F)=C3)=C3N1,5.5
24,O=C1C2=NC(C(CC)=O)=NN2C3=C(N1)C=C([N+]([O-])=O)C(N4C=NC=C4)=C3,84
25,O=C1C2=NC(C(CC)=O)=NN2C(C=C(NC(=O)C)C([N+]([O-])=O)=C3)=C3N1,85
26,O=C1C2=NC(C=O)=NN2C3=C(N1)C=C(C(F)(F)F)C(N4C=NN=C4)=C3,3.6
27,O=C1C2=NC(C=O)=NN2C3=C(N1)C=C(C(F)(F)F)C(N4C=CC=C4)=C3,8.3
28,O=C1C2=NC(C=O)=NN2C3=C(N1)C=C(C(F)(F)F)C(N4C=C(C=O)C=C4)=C3,2.6
29,O=C1C2=NC(C=O)=NN2C3=C(N1)C=C(C(F)(F)F)C(N4C=C(C(=O)O)C=C4)=C3,35
30,O=C1C2=NC(C=O)=NN2C3=C(N1)C=C(C(F)(F)F)C(N4C=CN=C4)=C3,34
31,O=C1C2=NC(C=O)=NN2C(C=C([N+]([O-])=O)C(C(F)(F)F)=C3)=C3N1,4.4
32,O=C1C2=NC(C=O)=NN2C(C=C(N)C(C(F)(F)F)=C3)=C3N1,1.5
33,O=C1C2=NC(C=O)=NN2C3=C(N1)C=C([N+]([O-])=O)C(N4C=CC=C4)=C3,65
34,O=C1C2=NC(C=O)=NN2C(C=C(N)C([N+]([O-])=O)=C3)=C3N1,2.7
35,O=C1C2=NC(C(CC)=O)=NN2C3=C(N1)C=C(Cl)C=C3Cl,4.8
36,O=C1C2=NC(C=O)=NN2C3=C(N1)C=C(Cl)C=C3Cl,0.14
37,O=C1N2N=C(C=C2C3=C(N1)C=CC=C3)C(=O)OCC,33.3
38,O=C1N2N=C(C=C2C3=C(N1)C=C(Cl)C=C3)C(=O)OCC,26.5
39,O=C1N2N=C(C=C2C3=C(N1)C=C(Cl)C(Cl)=C3)C(=O)OC,1.3
40,O=C1N2N=C(C=C2C3=C(N1)C=C(Cl)C([N+]([O-])=O)=C3)C(=O)OCC,10.6
41,O=C1N2N=C(C(Br)=C2C3=C(N1)C=C(Cl)C(Cl)=C3)C(=O)OCC,7.1
42,O=C1N2N=C(C(C(=O)OCC)=C2C3=C(N1)C=C(Cl)C(Cl)=C3)C(=O)OCC,2.95
43,O=C1N2N=C(C(C(=O)OCC)=C2C3=C(N1)C=C(Cl)C=C3)C(=O)OCC,3.4
44,O=C1N2N=C(C(C(=O)OCC)=C2C3=C(N1)C=C(Cl)C(Cl)=C3)C(=O)OCC,50
45,O=C1N2N=C(C=C2C3=C(N1)C=CC=C3)C(=O)OCC,1.41
46,O=C1N2N=C(C=C2C3=C(N1)C=C(Cl)C=C3)C(=O)O,0.48
47,O=C1N2N=C(C=C2C3=C(N1)C=C(Cl)C(Cl)=C3)C(=O)O,0.16
48,O=C1N2N=C(C=C2C3=C(N1)C=C(Cl)C([N+]([O-])=O)=C3)C(=O)O,1.1
49,O=C1N2N=C(C(C)=C2C3=C(N1)C=CC=C3)C(=O)O,0.78
50,O=C1N2N=C(C(Cl)=C2C3=C(N1)C=C(Cl)C=C3)C(=O)O,0.18
51,O=C1N2N=C(C(Cl)=C2C3=C(N1)C=C(Cl)C(Cl)=C3)C(=O)O,0.16
52,O=C1N2N=C(C(Br)=C2C3=C(N1)C=C(Cl)C(Cl)=C3)C(=O)O,4
53,O=C1N2N=C(C(C(=O)OCC)=C2C3=C(N1)C=CC=C3)C(=O)O,1.15
54,O=C1N2N=C(C(C(=O)OCC)=C2C3=C(N1)C=C(Cl)C(Cl)=C3)C(=O)O,0.22
55,O=C1N2N=C(C(C(=O)O)=C2C3=C(N1)C=CC=C3)C(=O)O,0.54
56,O=C1N2N=C(C(C(=O)O)=C2C3=C(N1)C=C(Cl)C=C3)C(=O)O,0.09
57,O=C1N2N=C(C(C(=O)O)=C2C3=C(N1)C=C(Cl)C(Cl)=C3)C(=O)O,0.059
58,O=C1N2N=C(C=C2C3=C(N1)C=CC=C3)C(=O)O,2
59,O=C1N2N=C(C=C2C3=C(N1)C=C(Cl)C=C3)C(=O)OC,10.6
60,O=C1N2N=C(C=C2C3=C(N1)C=C(Cl)C=C3)C(=O)O,0.24
61,O=C1N2N=C(C=C2C3=C(N1)C=C(Cl)C(Cl)=C3)C(=O)OC,4
62,O=C1N2N=C(C=C2C3=C(N1)C=C(Cl)C(Cl)=C3)C(=O)O,0.19
#val,,
63,O=C1C2=NC(C([R1])=O)=NN2C3=C(N1)C=C(Cl)C(N4C=C(C=O)C=C4)=C3 ,19
64,O=C1C2=NC(C(CC)=O)=NN2C(C=C([N+]([O-])=O)C(Cl)=C3)=C3N1,10.24
65,O=C1C2=NC(C=O)=NN2C(C=CC=C3)=C3N1,1.1
66,O=C1N2N=C(C(C(=O)OCC)=C2C3=C(N1)C=C(Cl)C=C3)C(=O)O,0.86
67,O=C1N2N=C(C(OCC)=O)C=C2C3=C(C=C(C(N4C=C(C=O)C=C4)=C3)Cl)N1,57
68,O=C1N2N=C(C(=O)O)C=C2C3=C(C=C(C(N4C=C(C=O)C=C4)=C3)Cl)N1,8.2
#test,,
72,O=C1N2N=C(C(C(=O)OCC)=C2C3=C(N1)C=C(C(F)(F)F)C=C3)C(=O)OCC,3.2
73,O=C1N2N=C(C(C(=O)O)=C2C3=C(N1)C=C(C(F)(F)F)C=C3)C(=O)O,0.072
78,O=C1C2=NC(C(OCC)=O)=NN2C(C=CC(C#N)=C3)=C3N1,22
79,O=C1C2=NC(C(O)=O)=NN2C(C=CC(C#N)=C3)=C3N1,2.2
